,0
2168,6034
2169,6035
2170,6036
2171,6037
2172,6038
2173,6041
2174,6042
2175,6043
2176,6044
2177,6050
2178,6051
2179,6052
2180,6053
2181,6054
2182,6055
2183,6056
2184,6057
2185,6058
2186,6059
2187,6060
2188,6061
2189,6062
2190,6063
2191,6064
2192,6065
2193,6066
2194,6067
2195,6068
2196,6069
2197,6070
2198,6071
2199,6072
2200,6073
2201,6074
2202,6076
2203,6077
2204,6078
2205,6079
2206,6081
2207,6082
2208,6083
2209,6084
2210,6090
2211,6100
2212,6101
2213,6102
2214,6103
2215,6104
2216,6105
2217,6106
2218,6107
2219,6108
2220,6109
2221,6110
2222,6111
2223,6112
2224,6121
2225,6122
2226,6123
2227,6124
2228,6125
2229,6126
2230,6147
2231,6148
2232,6149
2233,6150
2234,6151
2235,6152
2236,6153
2237,6154
2238,6155
2239,6156
2240,6157
2241,6158
2242,6159
2243,6160
2244,6161
2245,6162
2246,6163
2247,6164
2248,6165
2249,6166
2250,6167
2251,6168
2252,6169
2253,6170
2254,6171
2255,6172
2256,6173
2257,6174
2258,6175
2259,6176
2260,6180
2261,6181
2262,6207
2263,6208
2264,6209
2265,6210
2266,6211
2267,6213
2268,6214
2269,6215
2270,6218
2271,6220
2272,6221
2273,6223
2274,6224
2275,6225
2276,6226
2277,6227
2278,6228
2279,6229
2280,6230
2281,6232
2282,6233
2283,6236
2284,6237
2285,6239
2286,6240
2287,6243
2288,6244
2289,6251
2290,6252
2291,6253
2292,6254
2293,6255
2294,6256
2295,6258
2296,6260
2297,6262
2298,6271
2299,6275
2300,6280
2301,6281
2302,6282
2303,6284
2304,6285
2305,6286
2306,6288
2307,6290
2308,6302
2309,6304
2310,6306
2311,6308
2312,6309
2313,6311
2314,6312
2315,6313
2316,6315
2317,6316
2318,6317
2319,6318
2320,6320
2321,6321
2322,6322
2323,6323
2324,6324
2325,6326
2326,6327
2327,6328
2328,6330
2329,6333
2330,6335
2331,6336
2332,6337
2333,6338
2334,6341
2335,6343
2336,6346
2337,6348
2338,6350
2339,6351
2340,6352
2341,6353
2342,6355
2343,6356
2344,6357
2345,6358
2346,6359
2347,6361
2348,6363
2349,6365
2350,6367
2351,6368
2352,6369
2353,6370
2354,6372
2355,6373
2356,6375
2357,6383
2358,6384
2359,6385
2360,6386
2361,6390
2362,6391
2363,6392
2364,6393
2365,6394
2366,6395
2367,6396
2368,6397
2369,6398
2370,6401
2371,6403
2372,6405
2373,6407
2374,6409
2375,6410
2376,6411
2377,6412
2378,6413
2379,6414
2380,6415
2381,6418
2382,6419
2383,6420
2384,6421
2385,6422
2386,6423
2387,6424
2388,6425
2389,6426
2390,6427
2391,6428
2392,6429
2393,6430
2394,6431
2395,6432
2396,6434
2397,6436
2398,6437
2399,6438
2400,6440
2401,6442
2402,6443
2403,6445
2404,6446
2405,6447
2406,6448
2407,6450
2408,6460
2409,6461
2410,6462
2411,6465
2412,6466
2413,6467
2414,6468
2415,6472
2416,6473
2417,6475
2418,6476
2419,6477
2420,6479
2421,6480
2422,6484
2423,6485
2424,6487
2425,6488
2426,6489
2427,6490
2428,6501
2429,6502
2430,6503
2431,6504
2432,6505
2433,6506
2434,6507
2435,6509
2436,6510
2437,6511
2438,6512
2439,6513
2440,6514
2441,6515
2442,6516
2443,6517
2444,6518
2445,6519
2446,6521
2447,6522
2448,6525
2449,6528
2450,6530
2451,6532
2452,6535
2453,6536
2454,6537
2455,6556
2456,6558
2457,6560
2458,6562
2459,6564
2460,6566
2461,6567
2462,6568
2463,6569
2464,6571
2465,6572
2466,6574
2467,6575
2468,6603
2469,6605
2470,6606
2471,6608
2472,6609
